TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-16968-2026","2026-06-01 10:54:15","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 1","Unit","Flat","1983900","84.28","165.25","3 B/R","L2-0241,L2-0251","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 16"
"11-16993-2026","2026-06-01 10:57:32","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2700000","186.41","186.41","2 B/R","B1-1133","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE ATRIA"
"11-17021-2026","2026-06-10 13:23:46","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1900000","112.24","112.24","","","","","","0","0","","DAMAC HILLS (2) - CAMELIA"
"11-17066-2026","2026-06-01 11:37:38","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","2800000","929.04","929.04","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-17113-2026","2026-05-25 11:31:08","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Hotel Rooms","1420004.3","85.11","85.11","Studio","EU","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","THE ONE"
"11-17116-2026","2026-05-25 11:39:02","Sales","Sale","Ready","Free Hold","Residential","BARSHA HEIGHTS","Unit","Hotel Apartment","1189175.5","44.61","44.61","1 B/R","EU","Dubai Internet City","Mall of the Emirates","Burj Al Arab","0","0","","FIRST CENTRAL"
"11-17126-2026","2026-06-02 15:00:21","Sales","Sale","Ready","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1680000","107.01","107.01","1 B/R","B3-175","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-17153-2026","2026-06-02 12:38:29","Sales","Sale","Ready","Non Free Hold","Residential","Al Khawaneej First","Land","Residential","13500000","2601.28","2601.28","","","Etisalat Metro Station","City Centre Mirdif","","0","0","",""
"11-17186-2026","2026-06-08 12:22:06","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Land","Residential","10000000","639.92","639.92","","","","","Global Village","0","0","",""
"11-17206-2026","2026-06-01 14:35:00","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","7500000","163.58","163.58","2 B/R","B-274, B-275","Mina Seyahi","Marina Mall","Burj Al Arab","0","0","","SERENIA LIVING"
"11-17219-2026","2026-06-03 11:31:54","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1100000","59.79","59.79","1 B/R","P4-12","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti House"
"11-17231-2026","2026-06-01 09:52:23","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah First","Land","Residential","4500000","278.71","278.71","","","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","0","0","",""
"11-17236-2026","2026-06-02 12:29:40","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","3300000","250.8","250.8","4 B/R","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","",""
"11-17237-2026","2026-05-30 13:24:00","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","725000","38.26","38.26","Studio","","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Floarea Residence"
"11-17238-2026","2026-05-30 16:44:31","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","4369220","237.03","237.03","3 B/R","B-158 , B-205","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","0","0","","ACACIA AT PARK HEIGHTS"
"11-17239-2026","2026-05-30 17:35:07","Sales","Sale","Ready","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","307704","35.53","35.53","Studio","P2-66","","","IMG World Adventures","0","0","","BLUE WAVE"
"11-17240-2026","2026-06-01 12:11:16","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","15000000","225.11","225.11","Office","B6-367 TO B6-370","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE OPUS BY OMNIYAT"
"11-17241-2026","2026-06-01 11:45:51","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Hotel Apartment","2500000","110.31","110.31","1 B/R","B-124","Al Sufouh","Mall of the Emirates","Burj Al Arab","0","0","","Azizi Mina"
"11-17242-2026","2026-06-01 13:26:03","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","2360000","112.99","112.99","Office","B1-29,B1-30","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","IRIS BAY"
"11-17243-2026","2026-06-01 09:17:50","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","3050000","187.75","187.75","2 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 6"
"11-17244-2026","2026-06-01 09:24:00","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1050000","67.08","67.08","1 B/R","DMCC-3302","Damac Properties","Marina Mall","Burj Al Arab","0","0","",""
"11-17245-2026","2026-06-01 11:18:25","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Land","Residential","5750000","494.75","494.75","","","","","Al Makhtoum International Airport","0","0","","GOLF LINKS "
"11-17246-2026","2026-06-01 11:39:33","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1050000","39.79","39.79","Studio","B3-3131","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","DD BOULEVARD CENTRAL"
"11-17247-2026","2026-06-01 09:46:54","Sales","Sale","Ready","Free Hold","Residential","SILICON OASIS","Unit","Flat","1510000","111.62","111.62","2 B/R","G-42","","","IMG World Adventures","0","0","","AURA ELEGANCE"
"11-17248-2026","2026-06-01 10:03:56","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","6125000","355.53","355.53","3 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 10"
"11-17249-2026","2026-06-01 10:01:39","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1500000","122.82","122.82","1 B/R","P1-33","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","LAKE VIEW"
"11-17250-2026","2026-06-01 10:12:50","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","565000","60.11","60.11","1 B/R","G-27","Rashidiya Metro Station","City Centre Mirdif","","0","0","","PRIME RESIDENCY1"
"11-17251-2026","2026-06-01 10:18:02","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","610000","38.48","38.48","Studio","B-55","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Ashton Park Residences"
"11-17252-2026","2026-06-01 10:11:53","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2015000","120.96","120.96","2 B/R","P1-1072","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","PARK ISLANDS"
"11-17253-2026","2026-06-01 10:01:46","Sales","Sale","Ready","Free Hold","Commercial","DUBAI SPORTS CITY","Land","Commercial","17500000","951.08","951.08","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-17254-2026","2026-06-01 10:55:23","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz","Land","Residential","340000","21.52","211.35","","","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-17255-2026","2026-06-05 10:57:22","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1830000","90.4","90.4","1 B/R","L5-116","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","AL HABTOOR CITY"
"11-17256-2026","2026-06-01 10:15:41","Sales","Sale","Ready","Free Hold","Residential","JADDAF WATERFRONT","Unit","Flat","800000","39","39","1 B/R","B3-12","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","0","0","","Boutique Xll"
"11-17257-2026","2026-06-01 10:31:29","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","3100000","143.98","143.98","","","","","","0","0","","DAMAC LAGOONS - SANTORINI (1)"
"11-17258-2026","2026-06-01 10:54:50","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH PARK","Land","Commercial","15500000","510","510","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-17259-2026","2026-06-01 10:24:25","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1725000","70.59","70.59","1 B/R","B3-39","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","0","0","","THE POINT"
"11-17260-2026","2026-06-01 10:50:15","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","2300000","174.8","174.8","","","","","","0","0","","DAMAC HILLS (2) - JUNIPER"
"11-17261-2026","2026-06-01 10:25:10","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","17000000","406.92","406.92","PENTHOUSE","G-63,64","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","FAIRMONT PALM RESIDENCE"
"11-17262-2026","2026-06-01 11:15:20","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2500000","166.58","166.58","3 B/R","","","","IMG World Adventures","0","0","","AMARANTA 2 "
"11-17263-2026","2026-06-19 10:20:53","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","760000","74.89","74.89","1 B/R","B-41","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","THE MEDALIST"
"11-17264-2026","2026-06-01 10:46:09","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","980000","87.38","87.38","1 B/R","P3-183","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Corner"
"11-17265-2026","2026-06-01 10:39:20","Sales","Sale","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1700000","91.42","91.42","2 B/R","P5-12","","","","0","0","","Sobha Hartland - The Crest"
"11-17266-2026","2026-06-01 10:47:23","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","475000","37.62","37.62","Studio","LG-537","Rashidiya Metro Station","City Centre Mirdif","","0","0","","Lawnz Residence by Danube "
"11-17267-2026","2026-06-01 10:54:47","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1350000","137.6","137.6","2 B/R","P3-11","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","REEF RESIDENCE"
"11-17268-2026","2026-06-01 11:52:03","Sales","Sale","Ready","Non Free Hold","Commercial","Abu Hail","Land","Commercial","5000000","468","468","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","0","0","",""
"11-17269-2026","2026-06-01 10:56:37","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","290000","44","44","Studio","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-17270-2026","2026-06-01 10:56:36","Sales","Sale","Ready","Non Free Hold","Residential","AL TWAR FIFTH","Land","Residential","3250000","1365.67","1365.67","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-17271-2026","2026-06-01 11:08:59","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Unit","Flat","1150000","104.69","104.69","2 B/R","P-198","","","Dubai Cycling Course","0","0","","HAYAT BOULEVARD"
"11-17272-2026","2026-06-01 11:14:48","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1050000","75.31","75.31","1 B/R","L3-10","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","BURJ AL NUJOOM"
"11-17273-2026","2026-06-01 11:19:00","Sales","Sale","Ready","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","665000","62.7","62.7","1 B/R","B-105","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","GLITZ RESIDENCE 1"
"11-17274-2026","2026-06-01 11:20:33","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3250000","187.2","187.2","3 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-17275-2026","2026-06-01 11:34:38","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","4100000","185.22","185.22","2 B/R","B2-104","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","",""
"11-17276-2026","2026-06-01 11:25:04","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","950000","75.3","75.3","1 B/R","1","Damac Properties","Marina Mall","Burj Al Arab","0","0","","V3"
"11-17277-2026","2026-06-01 11:43:56","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","3300000","200.09","200.09","","","","","","0","0","","DAMAC LAGOONS - COSTA BRAVA (1)"
"11-17278-2026","2026-06-01 11:55:23","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2900000","161","161","3 B/R","","","","IMG World Adventures","0","0","","La Rosa"
"11-17279-2026","2026-06-01 11:51:03","Sales","Sale","Ready","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","1950000","74.67","74.67","Studio","B-93","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","Kempinski Residences The Creek"
"11-17280-2026","2026-06-01 15:11:29","Sales","Sale","Ready","Free Hold","Commercial","Nad Al Shiba First","Land","Commercial","30000000","2500","2500","","","","","","0","0","",""
"11-17281-2026","2026-06-03 10:01:16","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","6600000","162.62","162.62","2 B/R","B2-33","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","THE ADDRESS - THE BLVD"
"11-17282-2026","2026-06-01 11:54:52","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3700000","143.02","143.02","3 B/R","F1-44, F1-44T","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula One"
"11-17283-2026","2026-06-01 12:39:32","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","2100000","48.09","48.09","Studio","B2-45","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","THE PALM TOWER"
"11-17284-2026","2026-06-02 10:15:26","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH VILLAGE CIRCLE","Land","Commercial","5250000","501.51","501.51","","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","",""
"11-17285-2026","2026-06-01 12:12:23","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","1200000","131.55","131.55","1 B/R","105","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-17286-2026","2026-06-01 12:44:36","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1310000","46.36","46.36","Studio","B2-079","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","0","0","","Studio One"
"11-17287-2026","2026-06-01 15:52:55","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","30700000","617.85","617.85","4 B/R","P3-23-1 TO P3-23-3","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE 118"
"11-17288-2026","2026-06-01 12:38:47","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","2000000","101.84","101.84","1 B/R","B-87","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","GRANDEUR RESIDENCES"
"11-17289-2026","2026-06-01 12:39:56","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH PARK","Land","Commercial","12500000","1222.41","1222.41","","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-17290-2026","2026-06-02 11:18:07","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","386983","39.4","39.4","Studio","B-39","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","",""
"11-17291-2026","2026-06-01 12:41:22","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","375000","33.93","33.93","Studio","B3-242","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","LAKESIDE"
"11-17292-2026","2026-06-01 13:47:21","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Unit","Flat","2500000","145.95","145.95","2 B/R","B-67","Dubai Internet City","Marina Mall","Burj Al Arab","0","0","",""
"11-17293-2026","2026-06-01 13:15:02","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Building","Villa","5600000","306.49","306.49","4 B/R","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","0","0","","Maple III"
"11-17294-2026","2026-06-01 13:12:51","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","350000","43.56","43.56","Studio","","Rashidiya Metro Station","City Centre Mirdif","","0","0","","INTERNATIONAL CITY EMARATI"
"11-17295-2026","2026-06-01 13:48:50","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","4100000","313.53","313.53","4 B/R","","","","","0","0","","Arabian Ranches lll - Raya"
"11-17296-2026","2026-06-01 13:53:05","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","9466650","293.16","293.16","NA","B2-37","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","JUMEIRAH BUSINESS CENTRE 4"
"11-17297-2026","2026-06-03 12:53:03","Sales","Sale","Ready","Non Free Hold","Residential","Al Khawaneej Second","Land","Government Housing","3000000","951.31","951.31","","","","","","0","0","",""
"11-17298-2026","2026-06-04 18:49:13","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Unit","Flat","1045000","69.18","69.18","1 B/R","P-221","","","","0","0","","GEMZ by Danube "
"11-17299-2026","2026-06-01 13:39:10","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","2000000","68.38","68.38","2 B/R","GF-99","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","0","0","","Collective 2.0"
"11-17300-2026","2026-06-01 14:14:41","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","4150000","95.15","95.15","NA","DMCC L3-3195, DMCC L1-1051","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","JUMEIRAH BUSINESS CENTRE 4"
"11-17301-2026","2026-06-01 14:12:03","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3550000","187.18","187.18","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-17302-2026","2026-06-01 14:21:14","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","385000","69","69","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-17303-2026","2026-06-03 14:33:57","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1180000","39.27","39.27","Studio","B-334","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula Three"
"11-17304-2026","2026-06-10 13:57:35","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","5000000","413.65","413.65","4 B/R","","","","","0","0","","Mudon Al Ranim 2"
"11-17305-2026","2026-06-01 16:13:46","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","785000","90","90","1 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-17306-2026","2026-06-01 14:47:45","Sales","Sale","Ready","Free Hold","Residential","Madinat Al Mataar","Building","Villa","6190000","370.28","370.28","5 B/R","","","","","0","0","","The Pulse- Beachfront"
"11-17307-2026","2026-06-01 15:01:43","Sales","Sale","Ready","Non Free Hold","Commercial","SAMA AL JADAF","Land","Commercial","10010000","960.2","1920.4","","","Healthcare City Metro Station","Dubai Mall","Burj Khalifa","0","0","",""
"11-17308-2026","2026-06-01 15:00:06","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","2000000","137.6","137.6","2 B/R","B2-80","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","REEF RESIDENCE"
"11-17309-2026","2026-06-01 14:51:52","Sales","Sale","Ready","Free Hold","Residential","BARSHA HEIGHTS","Unit","Office","2450000","152.08","152.08","Office","B1-082, B1-083","Dubai Internet City","Marina Mall","Burj Al Arab","0","0","","EXECUTIVE HEIGHT"
"11-17310-2026","2026-06-01 15:26:27","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 1","Unit","Flat","1555000","69.25","69.25","1 B/R","L1-0104","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15"
"11-17312-2026","2026-06-01 15:28:29","Sales","Sale","Ready","Free Hold","Residential","LA MER","Unit","Flat","2100000","74.4","74.4","1 B/R","A-026","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","0","0","","Port De La Mer - La Sirene"
"11-17313-2026","2026-06-02 14:04:06","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2950000","137.75","137.75","2 B/R","B1-21","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","DD STAND POINT"
"11-17314-2026","2026-06-01 15:49:04","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","550000","32.3","32.3","Studio","P4-49","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","SKYZ By Danube"
